عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی
اخذ,881,482,action,گرفتن (0.85),واژه‌ی جدید
از حیث,635,480,principle,طبق قانون (0.72),واژه‌ی جدید
بیان,910,479,concept,ادعا (0.66),واژه‌ی جدید
میزان,896,478,concept,حد (0.73),واژه‌ی جدید
جمله,631,476,role,مضمون (0.71),واژه‌ی جدید
قرائت گزارش,493,476,action,گزارش‌گیری (0.76),واژه‌ی جدید
زوجیت,929,475,concept,ازدواج (0.75),واژه‌ی جدید
است،,965,475,principle,طبق قانون (0.63),واژه‌ی جدید
اولاً,619,474,concept,مشروط (0.62),واژه‌ی جدید
اصلی,1219,474,role,مضمون (0.69),واژه‌ی جدید
به وکالت,694,473,concept,وکالت (0.81),واژه‌ی جدید
وفق,632,473,principle,طبق قانون (0.67),واژه‌ی جدید
نتیجه,701,473,concept,علت (0.69),واژه‌ی جدید
خواسته را,615,472,object,طلب (0.75),واژه‌ی جدید
آقای الف,1014,472,concept,شخص (0.66),واژه‌ی جدید
حق خواهان,543,471,role,صاحب‌حق (0.76),واژه‌ی جدید
اخیر,577,471,concept,خارج از موضوع (0.65),واژه‌ی جدید
رییس,600,470,role,رئیس دادگاه (0.69),واژه‌ی جدید
متضمن,526,470,role,مضمون (0.73),واژه‌ی جدید
ماه,871,469,object,مالیات (0.64),واژه‌ی جدید
مربوط,676,469,role,وابسته (0.71),واژه‌ی جدید
لازم,710,468,concept,لازمه (0.87),alias پیشنهادی برای «لازمه»
دادگاه محترم,646,467,concept,نظر دادگاه (0.75),واژه‌ی جدید
محسوب,608,466,principle,لحاظ (0.70),واژه‌ی جدید
آمده,689,466,object,رسید (0.75),واژه‌ی جدید
ماده,733,466,object,عقار (0.65),واژه‌ی جدید
مطرح,697,463,role,مدعی (0.65),واژه‌ی جدید
مزبور,898,462,role,مغبون (0.62),واژه‌ی جدید
لوایح,625,462,object,لایحه (0.71),واژه‌ی جدید
آقایان,798,462,action,پیشنهاد (0.64),واژه‌ی جدید
صحیح,579,462,role,صاحب‌حق (0.72),واژه‌ی جدید
مدارک,718,462,object,مدرک (0.79),واژه‌ی جدید
اداره,1116,460,role,دولت (0.73),واژه‌ی جدید
دلایل,609,459,concept,علت (0.88),alias پیشنهادی برای «علت»
خواندگان,1939,458,role,مأذون (0.57),واژه‌ی جدید
مستندا,639,457,object,مستندات (0.77),واژه‌ی جدید
زوجین,1212,457,concept,ازدواج (0.72),واژه‌ی جدید
شعبه در,497,456,object,شعبه دادگاه (0.74),واژه‌ی جدید
از قرائت,466,454,concept,استقراء (0.68),واژه‌ی جدید
بالا تشکیل,463,453,concept,ایجاد تعهد (0.56),واژه‌ی جدید
خواه,1120,453,concept,تمایل (0.66),واژه‌ی جدید
منزل,1288,452,object,محل (0.62),واژه‌ی جدید
آیین,612,452,object,آئین نامه (0.68),واژه‌ی جدید
خواهان به,582,451,object,طلب (0.79),واژه‌ی جدید
جهات,569,450,concept,جهت‌گیری (0.65),واژه‌ی جدید
